filepath,xmin,xmax,ymin,ymax
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\0073797c-a755-4972-b76b-8ef2b31d44ab___new_IMG_20160315_071740.jpg.xml,140,339,210,260
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\00b42b2c-f193-4863-b92c-0245cbc816da___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-Petrol-Review-Images-Black-Front-Angle.xml,184,292,572,648
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\018b52e6-e9a1-42c2-8ce7-0617e8c8e021___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_sbtb02_auto1.xml,327,399,202,227
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\03273806-bb1e-48da-8c8b-a0133a90197a___2014-Skoda-Yeti-Test-Drive.jpg.xml,185,374,290,339
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\0369b20e-b432-4409-90f9-2420877aa386___8151536c79159a1557421da5f27f9f0e.jpg.xml,335,453,313,347
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\07064c2c-2aa3-4419-91a4-92916de8e54c___mahindra-scorpio-old-car-500x500.jpg.xml,205,335,290,353
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\074d85b8-42ec-4d17-9b8e-9e51ae060243___hqdefault.jpg.xml,142,316,148,230
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\07aaab79-71ee-4ea3-a9e6-640191183947___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_1208484d1392541449-nissan-terrano-official-review-img_20140215_181708.xml,1301,1814,1715,1876
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\07bd977e-d578-49a2-b345-7cee5a4db6bf___new_1031520d1356604430-skoda-rapid-joins-family-edit-sold-wp_000281.jpg.xml,158,365,204,254
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.xml,28,342,29,106
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\07f6d77a-652e-4885-8520-6d405d2f712f___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_840539077_1_1080x720_nissan-terrano-xl-d-thp-110-ps-2016-diesel-.xml,398,617,427,487
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\0850c175-0b8d-47f2-801c-e29f1dbdb367___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_571.xml,374,596,275,382
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\092c497e-623d-499d-822a-4b01c657389b___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear-left-rim.xml,111,172,164,183
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\0a0d1748-48cd-4114-90cb-b5baf0b3cbe4___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_147274518_15141875973_large.xml,189,329,321,353
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\0a720df9-e4ef-4e44-8c13-b39b9be8444d___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-6.xml,101,242,323,374
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\0b24d6ed-d32f-420d-bc18-03deece29073___2015-Maruti-Ciaz-Test-Drive-Review.jpg.xml,384,489,213,247
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\0b77e2a4-34db-486c-8d87-46186f5b7b88___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-diesel-review-motorzest-04.xml,421,500,308,338
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\0c9ebe94-827d-4c74-9950-6816e70d1bab___IMG_8883.jpg.xml,185,324,114,148
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\10c96324-3452-43e2-aa68-c8ae7d3c1b6e___844874771_1_1080x720_maruti-suzuki-wagon-r-vxi-bs-iii-2014-petrol-.jpg.xml,138,348,249,301
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\11186c4c-5f17-49b1-af37-a138a1e53794___12837944763_e7c6c6381a_z.jpg.xml,221,432,190,233
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\11832b13-d514-4f1d-967c-d00e76d21e9b___Yellow-Number-Plate-With-Black-Lettering.jpg.xml,121,244,163,202
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\125b5cda-9691-47aa-8e57-f6d8a8537d83___fancy_number_plates_in_india.jpg.xml,52,401,87,175
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\12e26859-89e0-4c9b-9c59-ee793337464f___20.jpg.xml,155,286,194,232
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\13ffaad4-a186-46bd-ae5d-924d1c8d7c50___maruti-suzuki-Baleno-RS-pics-48.jpg.xml,646,734,329,389
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\1438b735-2d21-4879-8ed4-e5fa086e70c8___Maruti-Suzuki-Swift-Dzire-1.jpg.xml,189,333,266,303
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\15e7c19f-da3c-4f0d-91f3-552afabc8961___41FxrEl7jHL.jpg.xml,145,368,99,154
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\165eaa92-8e90-44e6-b132-8af462bae0c9___scorpio-rear.JPG.xml,42,106,129,158
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\175ff546-0679-4cbb-ab03-acfcd96877b7___Maruti_Wagon_R_Rear.jpg.xml,192,362,278,325
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\18d2b870-7817-46da-a59a-6406c1b472c9___1033.xml,113,255,283,323
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\18f2e55e-0724-4eee-a28e-5d552a5aa045___20455d0e2dca458f13fbf4da5a2dc118.jpg - Copy.xml,152,285,165,242
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\18f2e55e-0724-4eee-a28e-5d552a5aa045___20455d0e2dca458f13fbf4da5a2dc118.jpg.xml,115,286,158,249
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\1a0da3dc-6667-4092-bc2a-a541a06f1e90___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano9.xml,198,369,373,416
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\1e7151e6-8626-4fb2-b7e8-0fb6a8fde713___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_a19be5870f8f2593c994c465a691477e_555X416_1.xml,233,322,225,258
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\1f0a7fe8-ac9b-4b54-9d55-e11f34f9f98b___9f6521b2ddb7b8e40ffd510966ffcca3.jpg.xml,314,377,108,144
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\206c95ff-83b8-4273-b105-6637bf9a3038___numerix-number-plates-thodupuzha-idukki-number-plate-dealers-1lhwiga.jpg.xml,624,1715,537,1008
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\20dd73fd-9e05-4bdc-b380-d8148b194ae7___Maruti-Swift-Number-Plates-Design.jpg.xml,333,856,215,411
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\2153dfcb-5968-4bfc-86ba-7ee8ec2d25b1___163231d1425035435-skoda-rapid-tdi-remapped-code-6-tuning-ind-front.jpg.xml,61,238,360,408
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\21cc678a-b9c5-4bbb-ace0-9e096e799632___unnamed-300x225.jpg - Copy.xml,24,58,97,120
